Latitude	Longitude	Hash	Lithology	Age	Age Uncert	Unparsed Lithology
40.024	-105.6479	40.024;-105.6479	sed, ign, met, 	2050.0	450.0	orthogneiss/paragneiss | paleoproterozoic crystalline metamorphic rocks | 
62.02685	4.98675	62.02685;4.98675		NaN	NaN	na | na | na
67.88396	18.56302	67.88396;18.56302	volc, gabbro, ign, met, 	709.6	290.0	amphibolite; metavolcanic gneiss | precambrian-phanerozoic crystalline metamorphic rocks | 
-74.8386	-113.4006	-74.8386;-113.4006		NaN	NaN	 | phanerozoic ice | 
27.91433	86.95458	27.91433;86.95458	met, 	721.9	278.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
27.97887	86.83426	27.97887;86.83426	met, 	721.9	278.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
27.98969	86.69017	27.98969;86.69017	met, 	721.9	278.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
28.6291	84.03506	28.6291;84.03506	met, 	721.9	278.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
35.7576	76.6169	35.7576;76.6169	sed, 	305.40099999999995	53.0	sedimentary rocks | paleozoic sedimentary rocks | 
30.75031	79.36068	30.75031;79.36068	met, 	721.9	278.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
32.16617	77.68744	32.16617;77.68744	met, 	721.9	278.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
32.25	77.36	32.25;77.36	met, 	721.9	278.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
54.0	-89.0	54;-89	basalt, volc, ign, 	3000.0	200.0	bimodal-mainly mafic volcanic rocks | archean volcanic rocks | 
60.49829	-139.50556	60.49829;-139.50556	sed, 	422.15	63.0	sedimentary rocks | paleozoic sedimentary rocks | 
45.42881	6.807	45.42881;6.807	sed, 	173.15	28.0	sedimentary rocks | mesozoic sedimentary rocks | 
49.03568	-122.71367	49.03568;-122.71367	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-77.85	160.92	-77.85;160.92	basalt, volc, ign, 	173.15	28.0	mafic volcanic rocks | mesozoic volcanic rocks | 
-77.9	160.92	-77.9;160.92	basalt, volc, ign, 	173.15	28.0	mafic volcanic rocks | mesozoic volcanic rocks | 
-77.54999	160.0897	-77.54999;160.0897	basalt, volc, ign, 	173.15	28.0	mafic volcanic rocks | mesozoic volcanic rocks | 
43.7844	-88.7879	43.7844;-88.7879	sed, 	395.351	143.0	sedimentary rocks | paleozoic sedimentary rocks | 
36.56491	74.6144	36.56491;74.6144	plut, ign, 	158.951	93.0	intrusive igneous rocks | mesozoic intrusive rocks | 
44.54366	-72.83489	44.54366;-72.83489	siliciclast, shale, carb, sed, 	721.9	278.0	mudstone-carbonate-sandstone-conglomerate | precambrian-phanerozoic sedimentary rocks | 
79.7067	21.6183	79.7067;21.6183	siliciclast, shale, carb, sed, 	287.551	36.0	mudstone-carbonate-sandstone | paleozoic sedimentary rocks | 
-80.5	76.0	-80.5;76		NaN	NaN	 | phanerozoic ice | 
-77.49563	162.35247	-77.49563;162.35247	plut, ign, 	395.351	143.0	intrusive igneous rocks | paleozoic intrusive rocks | 
44.1168	7.11299	44.1168;7.11299	ign, met, 	491.29999999999995	47.0	orthogneiss | paleozoic crystalline metamorphic rocks | 
70.9489	-71.1574	70.9489;-71.1574	met, 	2850.0	350.0	crystalline metamorphic rocks | archean crystalline metamorphic rocks | 
42.77139	0.13895	42.77139;0.13895	sed, 	389.04999999999995	30.0	sedimentary rocks | paleozoic sedimentary rocks | 
50.79185	-124.00293	50.79185;-124.00293	plut, ign, 	83.25	17.0	intrusive igneous rocks | mesozoic intrusive rocks | 
63.11533	19.0529	63.11533;19.0529		NaN	NaN	na | na | na
