Compilation	Reference	Reference DOI	Locality	Basin	Place	Region	Sample ID	Latitude	Longitude	Elevation (m)	Slope (m/km)	Type	Lithology	Methodology	Area (km2)	Time interval (yr)	Sediment flux (km3/yr)	Exhumation (m)	Exhumation min (m)	Exhumation max (m)	Erosion rate (mm/yr)	Erosion rate min	Erosion rate max	Comments
GloRiSe	Tesi et al., 2013, Pettine et al., 1994, Davide et al., 2003	10.1016/j.jhydrol.2013.06.001	North-East Italy	Po	Italy	Europe	ITA-POO-111111-DAV2	44.88848	11.60805		2.78695	Fluvial		Volumetric	7.40000E+04	2.74000E-03	5.91599E-04				2.55562E-02	7.99458E-03	3.01563E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Tesi et al., 2013, Pettine et al., 1994, Davide et al., 2003	10.1016/j.jhydrol.2013.06.001	North-East Italy	Po	Italy	Europe	ITA-POO-111111-TSI1	44.88848	11.60805		2.78695	Fluvial		Volumetric	7.40000E+04	2.74000E-03	6.11565E-04				9.12457E-03	8.26439E-03	1.07670E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Tesi et al., 2013, Pettine et al., 1994, Davide et al., 2003	10.1016/j.jhydrol.2013.06.001	North-East Italy	Po	Italy	Europe	ITA-POO-111111-TSI10	44.88848	11.60805		2.78695	Fluvial		Volumetric	7.40000E+04	2.74000E-03	3.68738E-03				5.07745E-02	4.98294E-02	5.99139E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Tesi et al., 2013, Pettine et al., 1994, Davide et al., 2003	10.1016/j.jhydrol.2013.06.001	North-East Italy	Po	Italy	Europe	ITA-POO-111111-TSI11	44.88848	11.60805		2.78695	Fluvial		Volumetric	7.40000E+04	2.74000E-03	3.05782E-03				4.21546E-02	4.13219E-02	4.97424E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Tesi et al., 2013, Pettine et al., 1994, Davide et al., 2003	10.1016/j.jhydrol.2013.06.001	North-East Italy	Po	Italy	Europe	ITA-POO-111111-TSI12	44.88848	11.60805		2.78695	Fluvial		Volumetric	7.40000E+04	2.74000E-03	2.59016E-03				3.58485E-02	3.50021E-02	4.23012E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Tesi et al., 2013, Pettine et al., 1994, Davide et al., 2003	10.1016/j.jhydrol.2013.06.001	North-East Italy	Po	Italy	Europe	ITA-POO-111111-TSI13	44.88848	11.60805		2.78695	Fluvial		Volumetric	7.40000E+04	2.74000E-03	1.85268E-03				3.46840E-02	2.50362E-02	4.09271E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Tesi et al., 2013, Pettine et al., 1994, Davide et al., 2003	10.1016/j.jhydrol.2013.06.001	North-East Italy	Po	Italy	Europe	ITA-POO-111111-TSI2	44.88848	11.60805		2.78695	Fluvial		Volumetric	7.40000E+04	2.74000E-03	1.33825E-02				1.81383E-01	1.80844E-01	2.14032E-01	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Tesi et al., 2013, Pettine et al., 1994, Davide et al., 2003	10.1016/j.jhydrol.2013.06.001	North-East Italy	Po	Italy	Europe	ITA-POO-111111-TSI3	44.88848	11.60805		2.78695	Fluvial		Volumetric	7.40000E+04	2.74000E-03	1.69619E-02				2.29939E-01	2.29215E-01	2.71328E-01	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Tesi et al., 2013, Pettine et al., 1994, Davide et al., 2003	10.1016/j.jhydrol.2013.06.001	North-East Italy	Po	Italy	Europe	ITA-POO-111111-TSI4	44.88848	11.60805		2.78695	Fluvial		Volumetric	7.40000E+04	2.74000E-03	1.10441E-02				1.49921E-01	1.49245E-01	1.76907E-01	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Tesi et al., 2013, Pettine et al., 1994, Davide et al., 2003	10.1016/j.jhydrol.2013.06.001	North-East Italy	Po	Italy	Europe	ITA-POO-111111-TSI5	44.88848	11.60805		2.78695	Fluvial		Volumetric	7.40000E+04	2.74000E-03	7.37475E-03				1.00369E-01	9.96588E-02	1.18435E-01	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Tesi et al., 2013, Pettine et al., 1994, Davide et al., 2003	10.1016/j.jhydrol.2013.06.001	North-East Italy	Po	Italy	Europe	ITA-POO-111111-TSI6	44.88848	11.60805		2.78695	Fluvial		Volumetric	7.40000E+04	2.74000E-03	4.65868E-03				6.37637E-02	6.29552E-02	7.52412E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Tesi et al., 2013, Pettine et al., 1994, Davide et al., 2003	10.1016/j.jhydrol.2013.06.001	North-East Italy	Po	Italy	Europe	ITA-POO-111111-TSI7	44.88848	11.60805		2.78695	Fluvial		Volumetric	7.40000E+04	2.74000E-03	3.65140E-03				5.00599E-02	4.93433E-02	5.90707E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Tesi et al., 2013, Pettine et al., 1994, Davide et al., 2003	10.1016/j.jhydrol.2013.06.001	North-East Italy	Po	Italy	Europe	ITA-POO-111111-TSI8	44.88848	11.60805		2.78695	Fluvial		Volumetric	7.40000E+04	2.74000E-03	3.70536E-03				5.08642E-02	5.00725E-02	6.00198E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Tesi et al., 2013, Pettine et al., 1994, Davide et al., 2003	10.1016/j.jhydrol.2013.06.001	North-East Italy	Po	Italy	Europe	ITA-POO-111111-TSI9	44.88848	11.60805		2.78695	Fluvial		Volumetric	7.40000E+04	2.74000E-03	4.06511E-03				5.58264E-02	5.49339E-02	6.58752E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Vale, 1986		Santarem, Portugal	Tagus	Portugal	Europe	PRT-TAG-111111-VAL1	39.20152	-8.68090		17.20111	Fluvial		Volumetric	8.01000E+04	2.50000E-01	3.27040E-05				8.94425E-03	4.08290E-04	1.05542E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Vale, 1986		Santarem, Portugal	Tagus	Portugal	Europe	PRT-TAG-111111-VAL2	39.20152	-8.68090		17.20111	Fluvial		Volumetric	8.01000E+04	1.00000E+00	2.56960E-05				8.85676E-03	3.20799E-04	1.04510E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Vale, 1986		Santarem, Portugal	Tagus	Portugal	Europe	PRT-TAG-111111-VAL3	39.20152	-8.68090		17.20111	Fluvial		Volumetric	8.01000E+04	1.00000E+00	6.13200E-05				9.30150E-03	7.65543E-04	1.09758E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Vale, 1986		Lissbon, Portugal	Tagus	Portugal	Europe	PRT-TAG-111112-VAL1	38.95561	-8.97781		29.02262	Fluvial		Volumetric	8.01000E+04	2.50000E-01	1.01616E-03				2.12221E-02	1.26861E-02	2.50421E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP1	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	1.99845E-03				8.59818E-02	1.08024E-02	1.01459E-01	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP10	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	6.77440E-04				7.88412E-02	3.66184E-03	9.30326E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP100	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	6.77440E-04				7.88412E-02	3.66184E-03	9.30326E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP101	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	6.09696E-04				7.84751E-02	3.29565E-03	9.26006E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP102	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	3.38720E-04				7.70103E-02	1.83092E-03	9.08722E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP103	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	2.23555E-03				8.72635E-02	1.20841E-02	1.02971E-01	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP104	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	1.76134E-03				8.47002E-02	9.52078E-03	9.99462E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP105	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	1.38875E-03				8.26862E-02	7.50677E-03	9.75697E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP106	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	1.11778E-03				8.12214E-02	6.04203E-03	9.58413E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP107	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	6.43568E-04				7.86581E-02	3.47875E-03	9.28166E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP108	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	4.74208E-04				7.77427E-02	2.56329E-03	9.17364E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP109	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	2.74363E-04				7.66624E-02	1.48304E-03	9.04616E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP11	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	1.05003E-03				8.08552E-02	5.67585E-03	9.54091E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP110	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	4.74208E-04				7.77427E-02	2.56329E-03	9.17364E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP111	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	4.06464E-04				7.73765E-02	2.19710E-03	9.13043E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP112	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	4.40336E-04				7.75596E-02	2.38019E-03	9.15203E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP113	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	7.11312E-04				7.90243E-02	3.84493E-03	9.32487E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP114	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	4.74208E-04				7.77427E-02	2.56329E-03	9.17364E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP115	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	2.03232E-04				7.62780E-02	1.09855E-03	9.00080E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP116	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	4.06464E-04				7.73765E-02	2.19710E-03	9.13043E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP117	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	3.38720E-04				7.70103E-02	1.83092E-03	9.08722E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP118	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	7.11312E-04				7.90243E-02	3.84493E-03	9.32487E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP119	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	5.41952E-04				7.81089E-02	2.92947E-03	9.21685E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP12	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	6.09696E-04				7.84751E-02	3.29565E-03	9.26006E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP120	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	9.82288E-04				8.04891E-02	5.30966E-03	9.49771E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP121	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	6.43568E-04				7.86581E-02	3.47875E-03	9.28166E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP122	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	3.72592E-04				7.71934E-02	2.01401E-03	9.10882E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP123	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	6.09696E-04				7.84751E-02	3.29565E-03	9.26006E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP124	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	3.72592E-04				7.71934E-02	2.01401E-03	9.10882E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP125	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	5.08080E-04				7.79258E-02	2.74638E-03	9.19524E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP126	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	1.45650E-03				8.30524E-02	7.87295E-03	9.80018E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP127	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	9.14544E-04				8.01229E-02	4.94348E-03	9.45450E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP128	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	5.08080E-04				7.79258E-02	2.74638E-03	9.19524E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP129	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	5.75824E-04				7.82920E-02	3.11256E-03	9.23846E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP13	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	5.75824E-04				7.82920E-02	3.11256E-03	9.23846E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP130	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	9.82288E-04				8.04891E-02	5.30966E-03	9.49771E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP131	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	1.38875E-03				8.26862E-02	7.50677E-03	9.75697E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP132	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	7.11312E-04				7.90243E-02	3.84493E-03	9.32487E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP133	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	5.75824E-04				7.82920E-02	3.11256E-03	9.23846E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP134	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	3.04848E-04				7.68272E-02	1.64783E-03	9.06561E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP135	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	2.03232E-04				7.62780E-02	1.09855E-03	9.00080E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP136	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	6.43568E-04				7.86581E-02	3.47875E-03	9.28166E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP137	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	5.08080E-04				7.79258E-02	2.74638E-03	9.19524E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP138	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	5.75824E-04				7.82920E-02	3.11256E-03	9.23846E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP139	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	1.25326E-03				8.19538E-02	6.77440E-03	9.67055E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP14	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	4.06464E-04				7.73765E-02	2.19710E-03	9.13043E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
GloRiSe	Van der Perck and Espinosa Vilches 2020, van der Weijden and Middelburg 1989	10.1007/s11368-019-02490-5	Lobit at German-Dutch border	Rhine	Netherlands	Europe	NLD-RHN-111112-VDP140	51.84913	6.10191		7.87424	Fluvial		Volumetric	1.85000E+05	2.74000E-03	1.32101E-03				8.23200E-02	7.14058E-03	9.71376E-02	Min is TSS only, reported is TSS+TDS (some reported, some interpolated), max adds 18% bedload
