Compilation	Reference	Reference DOI	Locality	Basin	Place	Region	Sample ID	Latitude	Longitude	Elevation (m)	Slope (m/km)	Type	Lithology	Methodology	Area (km2)	Time interval (yr)	Sediment flux (km3/yr)	Exhumation (m)	Exhumation min (m)	Exhumation max (m)	Erosion rate (mm/yr)	Erosion rate min	Erosion rate max	Comments
Chen et al., 2022	Andermann et al., 2012	10.1016/j.epsl.2012.06.059	Upper Rapti	Upper Rapti	Nepal	Asia		27.90000	82.85000		181.81425	Fluvial		Volumetric	3.64800E+03	5.00000E+00					1.90000E+00			
Chen et al., 2022	Andermann et al., 2012	10.1016/j.epsl.2012.06.059	Rapti	Rapti	Nepal	Asia		27.95000	82.23000		114.31339	Fluvial		Volumetric	5.19700E+03	5.00000E+00					1.00000E+00			
Chen et al., 2022	Andermann et al., 2012	10.1016/j.epsl.2012.06.059	Kali-Gandaki	Kali-Gandaki	Nepal	Asia		28.01000	83.60000		322.75897	Fluvial		Volumetric	7.17000E+03	5.00000E+00					2.80000E+00			
Chen et al., 2022	Andermann et al., 2012	10.1016/j.epsl.2012.06.059	Trishuli	Trishuli	Nepal	Asia		27.97000	85.18000		313.97208	Fluvial		Volumetric	4.42800E+03	5.00000E+00					3.00000E-01			
Chen et al., 2022	Andermann et al., 2012	10.1016/j.epsl.2012.06.059	Narayani	Narayani	Nepal	Asia		27.71000	84.43000		86.47692	Fluvial		Volumetric	3.20020E+04	5.00000E+00					1.50000E+00			
Chen et al., 2022	Andermann et al., 2012	10.1016/j.epsl.2012.06.059	Bagmati	Bagmati	Nepal	Asia		27.11000	85.48000		60.29801	Fluvial		Volumetric	2.84900E+03	5.00000E+00					6.00000E-01			
Chen et al., 2022	Andermann et al., 2012	10.1016/j.epsl.2012.06.059	Sapta-Koshi	Sapta-Koshi	Nepal	Asia		28.87000	87.16000		163.98689	Fluvial		Volumetric	5.40240E+04	5.00000E+00					9.00000E-01			
Chen et al., 2022	Andermann et al., 2012	10.1016/j.epsl.2012.06.059	Kankai Mai	Kankai Mai	Nepal	Asia		26.70000	87.88000		52.91567	Fluvial		Volumetric	1.17200E+03	5.00000E+00					5.00000E-01			
Chen et al., 2022	Bierman et al., 2005	10.1002/esp.1255	Rio Puerco New Mexico	Rio Puerco New Mexico	US	North America		35.60088	-107.16661		54.91994	Fluvial		Volumetric	1.11700E+03	5.00000E+00					4.05625E-01			
Chen et al., 2022	Bierman et al., 2005	10.1002/esp.1255	Rio Puerco New Mexico	Rio Puerco New Mexico	US	North America		35.59225	-107.18944		59.09995	Fluvial		Volumetric	2.22000E+03	5.00000E+00					4.37500E-01			
Chen et al., 2022	Bierman et al., 2005	10.1002/esp.1255	Rio Puerco New Mexico	Rio Puerco New Mexico	US	North America		34.41027	-106.85444		17.99738	Fluvial		Volumetric	1.61530E+04	5.00000E+00					1.51250E-01			
Chen et al., 2022	Bierman et al., 2005	10.1002/esp.1255	Rio Puerco New Mexico	Rio Puerco New Mexico	US	North America		34.79388	-106.98888		21.86185	Fluvial		Volumetric	1.49460E+04	5.00000E+00					2.90625E-01			
Chen et al., 2022	Bierman et al., 2005	10.1002/esp.1255	Rio Puerco New Mexico	Rio Puerco New Mexico	US	North America		34.96805	-107.18638		39.17111	Fluvial		Volumetric	7.12200E+03	5.00000E+00					4.25000E-02			
Chen et al., 2022	Brown et al., 1995	10.1016/0012-821X(94)00249-X	Luquillo Forest Puerto Rico	Luquillo Forest Puerto Rico	US	Central America		18.27722	-65.78583		126.01814	Fluvial		Volumetric	3.26000E+00	5.00000E+00					1.26250E-01			
Chen et al., 2022	Clapp et al., 2000	10.1130/0091-7613(2000)28<995:SYESPI>2.0.CO;2	Nahal Yael	Nahal Yael	Israel	West Asia		29.58972	34.94521		83.12991	Fluvial		Volumetric	6.00000E-01	5.00000E+00					7.84375E-02			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Fengshan	Fengshan	Taiwan	Asia		24.82568	121.06569		47.96959	Fluvial		Volumetric	2.08000E+02	5.00000E+00					3.00481E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Taan	Taan	Taiwan	Asia		24.34237	120.73787		66.92904	Fluvial		Volumetric	6.33000E+02	5.00000E+00					6.91153E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Tachia	Tachia	Taiwan	Asia		24.29177	121.25193		346.97197	Fluvial		Volumetric	4.17000E+02	5.00000E+00					1.49880E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Choshui	Choshui	Taiwan	Asia		23.83663	120.39866		2.79606	Fluvial		Volumetric	2.98900E+03	5.00000E+00					1.12914E+01			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Pachang	Pachang	Taiwan	Asia		23.32846	120.25267		2.46512	Fluvial		Volumetric	4.41000E+02	5.00000E+00					8.50340E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Tsengwen	Tsengwen	Taiwan	Asia		23.10741	120.20641		3.12940	Fluvial		Volumetric	1.15700E+03	5.00000E+00					1.35048E+01			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Peinan	Peinan	Taiwan	Asia		22.79218	121.14593		92.53608	Fluvial		Volumetric	1.58400E+03	5.00000E+00					3.47222E+01			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Hsiukuluan	Hsiukuluan	Taiwan	Asia		23.48497	121.40469		172.80322	Fluvial		Volumetric	1.53900E+03	5.00000E+00					8.93437E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Hualien	Hualien	Taiwan	Asia		23.92272	121.59960		131.99344	Fluvial		Volumetric	1.50600E+03	5.00000E+00					1.28652E+01			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Hoping	Hoping	Taiwan	Asia		24.32454	121.74338		338.28801	Fluvial		Volumetric	5.53000E+02	5.00000E+00					1.69530E+01			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Tanshui (1140H058)	Tanshui (1140H058)	Taiwan	Asia		25.07872	121.68954		112.30769	Fluvial		Volumetric	8.42000E+02	5.00000E+00					7.42280E-01			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Tanshui (1140H066)	Tanshui (1140H066)	Taiwan	Asia		24.98943	121.52908		87.96840	Fluvial		Volumetric	7.51000E+02	5.00000E+00					1.49800E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Tanshui (1140H067)	Tanshui (1140H067)	Taiwan	Asia		24.94498	121.35337		79.77818	Fluvial		Volumetric	2.04000E+02	5.00000E+00					5.20833E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Nankang	Nankang	Taiwan	Asia		25.05596	121.28118		24.88790	Fluvial		Volumetric	1.22000E+02	5.00000E+00					5.12295E-01			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Touchien	Touchien	Taiwan	Asia		24.80788	121.01947		35.17293	Fluvial		Volumetric	4.99000E+02	5.00000E+00					1.87876E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Chungkang	Chungkang	Taiwan	Asia		24.64278	120.95690		92.80262	Fluvial		Volumetric	1.65000E+02	5.00000E+00					6.06061E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Houlung	Houlung	Taiwan	Asia		24.59489	120.82551		41.25522	Fluvial		Volumetric	4.72000E+02	5.00000E+00					3.84004E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Wu	Wu	Taiwan	Asia		24.10595	120.58220		24.14013	Fluvial		Volumetric	1.98100E+03	5.00000E+00					3.09187E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Peikang	Peikang	Taiwan	Asia		23.56277	120.30118		2.18128	Fluvial		Volumetric	5.97000E+02	5.00000E+00					2.30318E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Potzu	Potzu	Taiwan	Asia		23.46823	120.22856		2.13417	Fluvial		Volumetric	2.89000E+02	5.00000E+00					4.54152E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Chishui	Chishui	Taiwan	Asia		23.29587	120.31299		4.68992	Fluvial		Volumetric	2.27000E+02	5.00000E+00					4.95595E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Yenshui	Yenshui	Taiwan	Asia		23.05830	120.27688		6.71735	Fluvial		Volumetric	1.46000E+02	5.00000E+00					4.70890E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Kaoping	Kaoping	Taiwan	Asia		22.65075	120.43925		12.48002	Fluvial		Volumetric	3.07600E+03	5.00000E+00					9.95611E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Tungkang	Tungkang	Taiwan	Asia		22.56851	120.54377		7.89207	Fluvial		Volumetric	1.75000E+02	5.00000E+00					1.42857E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Linpien	Linpien	Taiwan	Asia		22.46199	120.55017		13.64818	Fluvial		Volumetric	3.10000E+02	5.00000E+00					6.65323E+00			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Chihpen	Chihpen	Taiwan	Asia		22.69462	121.02192		214.19082	Fluvial		Volumetric	1.66000E+02	5.00000E+00					1.35542E+01			
Chen et al., 2022	Dadson et al., 2005	10.1029/2004JF000244	Nanao	Nanao	Taiwan	Asia		24.46025	121.78857		265.89445	Fluvial		Volumetric	1.70000E+02	5.00000E+00					8.82353E+00			
Chen et al., 2022	Gellis et al., 2005	https://pubs.usgs.gov/pp/2005/pp1704/	Arroyo de los Frijoles Watershed New Mexico	Arroyo de los Frijoles Watershed New Mexico	US	North America		35.75833	-106.02500		33.30351	Fluvial		Volumetric	1.55000E-01	5.00000E+00					8.68750E-02			
Chen et al., 2022	Gellis et al., 2012	10.1130/B30392.1	Volcano Hill Wash New Mexico	Volcano Hill Wash New Mexico	US	North America		34.83617	-107.36633		29.36107	Fluvial		Volumetric	9.30000E+00	5.00000E+00					3.72500E-01			
Chen et al., 2022	Gellis et al., 2012	10.1130/B30392.1	Arroyo Chavez New Mexico	Arroyo Chavez New Mexico	US	North America		35.65027	-107.08028		40.64521	Fluvial		Volumetric	2.11000E+00	5.00000E+00					7.48125E-01			
Chen et al., 2022	Hewawasam et al., 2003	10.1130/0091-7613(2003)031<0597:IOHONE>2.0.CO;2	Atabage oya Upper Mahaweli catchment	Atabage oya Upper Mahaweli catchment	Sri Lanka	Asia		7.13460	80.59759		136.86929	Fluvial		Volumetric	4.40000E+01	5.00000E+00					2.24375E-01			
Chen et al., 2022	Hewawasam et al., 2003	10.1130/0091-7613(2003)031<0597:IOHONE>2.0.CO;2	Nilambe oya Upper Mahaweli catchment	Nilambe oya Upper Mahaweli catchment	Sri Lanka	Asia		7.18837	80.63126		131.53096	Fluvial		Volumetric	6.20000E+01	5.00000E+00					8.37500E-02			
Chen et al., 2022	Hewawasam et al., 2003	10.1130/0091-7613(2003)031<0597:IOHONE>2.0.CO;2	Huluganga Upper Mahaweli catchment	Huluganga Upper Mahaweli catchment	Sri Lanka	Asia		7.32811	80.74441		143.32083	Fluvial		Volumetric	1.23000E+02	5.00000E+00					1.40000E-01			
Chen et al., 2022	Hewawasam et al., 2003	10.1130/0091-7613(2003)031<0597:IOHONE>2.0.CO;2	Maha oya Upper Mahaweli catchment	Maha oya Upper Mahaweli catchment	Sri Lanka	Asia		7.19348	80.76529		169.64978	Fluvial		Volumetric	1.07000E+02	5.00000E+00					2.46875E-01			
Chen et al., 2022	Hewawasam et al., 2003	10.1130/0091-7613(2003)031<0597:IOHONE>2.0.CO;2	Belihul oya Upper Mahaweli catchment	Belihul oya Upper Mahaweli catchment	Sri Lanka	Asia		7.16635	80.84295		197.83615	Fluvial		Volumetric	1.46000E+02	5.00000E+00					3.45625E-01			
Chen et al., 2022	Hewawasam et al., 2003	10.1130/0091-7613(2003)031<0597:IOHONE>2.0.CO;2	Uma oya (1) Upper Mahaweli catchment	Uma oya (1) Upper Mahaweli catchment	Sri Lanka	Asia		7.19109	80.94612		160.44090	Fluvial		Volumetric	7.40000E+02	5.00000E+00					1.32500E+00			
Chen et al., 2022	Hewawasam et al., 2003	10.1130/0091-7613(2003)031<0597:IOHONE>2.0.CO;2	Uma oya (2) Upper Mahaweli catchment	Uma oya (2) Upper Mahaweli catchment	Sri Lanka	Asia		6.90616	80.90962		128.96310	Fluvial		Volumetric	9.80000E+01	5.00000E+00					1.00750E+00			
Chen et al., 2022	Hewawasam et al., 2003	10.1130/0091-7613(2003)031<0597:IOHONE>2.0.CO;2	Peradeniya Upper Mahaweli catchment	Peradeniya Upper Mahaweli catchment	Sri Lanka	Asia		7.26415	80.59362		93.88243	Fluvial		Volumetric	5.65000E+02	5.00000E+00					2.79375E-01			
Chen et al., 2022	Hewawasam et al., 2003	10.1130/0091-7613(2003)031<0597:IOHONE>2.0.CO;2	Polgolla Upper Mahaweli catchment	Polgolla Upper Mahaweli catchment	Sri Lanka	Asia		7.32184	80.64526		87.03315	Fluvial		Volumetric	7.21000E+02	5.00000E+00					2.53125E-01			
Chen et al., 2022	Hewawasam et al., 2003	10.1130/0091-7613(2003)031<0597:IOHONE>2.0.CO;2	Victoria Upper Mahaweli catchment	Victoria Upper Mahaweli catchment	Sri Lanka	Asia		7.24110	80.78500		154.92308	Fluvial		Volumetric	1.60000E+01	5.00000E+00					3.18750E-01			
Chen et al., 2022	Hewawasam et al., 2003	10.1130/0091-7613(2003)031<0597:IOHONE>2.0.CO;2	Ganga Ganga basin	Ganga Ganga basin	India	Asia		26.61300	80.27600		3.77379	Fluvial		Volumetric	3.26500E+04	5.00000E+00					1.16438E+01			
Chen et al., 2022	Hewawasam et al., 2003	10.1130/0091-7613(2003)031<0597:IOHONE>2.0.CO;2	Karnali Ganga basin	Karnali Ganga basin	India	Asia		25.78000	84.63100		3.65470	Fluvial		Volumetric	7.20100E+04	5.00000E+00					6.24709E-01			
