Compilation	Reference	Reference DOI	Locality	Place	Region	Latitude	Longitude	Elevation (m)	Type	Lithology	Methodology	Area (km2)	Time interval (yr)	Sediment flux (km3/yr)	Exhumation (m)	Exhumation min (m)	Exhumation max (m)	Erosion rate (mm/yr)	Erosion rate min	Erosion rate max	Comments	
Golombek et al., 2006	Golombek and Bridges, 2000	10.1029/1999JE001043	Pathfinder landing site	Pathfinder landing site	Mars				eolian	Basalt	Ventifact erosion	2.50000E-17	3.10000E+09		5.00000E-02	3.00000E-02	7.00000E-02	2.00000E-08				
Golombek et al., 2006	Arvidson et al., 1979	10.1038/278533a0	Viking landing site	Viking landing site	Mars				eolian	Basalt	Pedestal crater deflation 	4.00000E+02	3.00000E+09		3.00000E+02			1.00000E-04				
Golombek et al., 2006	Golombek et al., 2006	10.1029/2006JE002754	Meridiani Planum	Meridiani Planum	Mars				eolian	Basalt	Loss of Hesperian craters	7.22500E+05	3.00000E+09		4.50000E+01	1.00000E+01	8.00000E+01	1.50000E-05	3.30000E-03	2.67000E-02		
Golombek et al., 2006	Golombek et al., 2006	10.1029/2006JE002754	Meridiani Planum	Meridiani Planum	Mars				eolian	Basalt	Degradation of fresh craters	7.22500E+05	4.00000E+08		5.50000E+00	1.00000E+00	1.00000E+01	1.22000E-05				
Golombek et al., 2006	Golombek et al., 2006	10.1029/2006JE002754	Meridiani Planum	Meridiani Planum	Mars				eolian	Basalt	Concentration of blueberry surface lag	1.00000E-06	4.00000E+08		5.00000E-01			1.30000E-06				
This study	Orofino et al., 2018	10.1016/j.pss.2018.06.001	Parana Valles	Parana Valles	Mars	-22.90000	349.00000		Fluvial	Basalt	Volumetric	3.85000E+03	6.50000E+07					5.30000E-02				
This study	Orofino et al., 2018	10.1016/j.pss.2018.06.001	Naktong Vallis	Naktong Vallis	Mars	5.00000	33.00000		Fluvial	Basalt	Volumetric	1.16000E+04	1.70000E+07					4.00000E-02				
This study	Orofino et al., 2018	10.1016/j.pss.2018.06.001	Zarqa Vallis	Zarqa Vallis	Mars	1.60000	80.80000		Fluvial	Basalt	Volumetric	1.82000E+03	2.60000E+07					6.80000E-02				
This study	Orofino et al., 2018	10.1016/j.pss.2018.06.001			Mars	-0.90000	30.00000		Fluvial	Basalt	Volumetric	1.19000E+03	8.50000E+04					1.20000E+00				
This study	Orofino et al., 2018	10.1016/j.pss.2018.06.001	Licus Vallis	Licus Vallis	Mars	-2.40000	126.10000		Fluvial	Basalt	Volumetric	2.95000E+03	2.00000E+06					1.40000E-01				
This study	Orofino et al., 2018	10.1016/j.pss.2018.06.001			Mars	-9.80000	-14.00000		Fluvial	Basalt	Volumetric	1.01000E+04	3.10000E+05					1.80000E-01				
This study	Orofino et al., 2018	10.1016/j.pss.2018.06.001			Mars	-12.00000	-161.80000		Fluvial	Basalt	Volumetric	1.67000E+03	1.30000E+05					8.10000E-01				
This study	Orofino et al., 2018	10.1016/j.pss.2018.06.001			Mars	-13.60000	-174.30000		Fluvial	Basalt	Volumetric	1.29000E+03	4.00000E+05					3.10000E-01				
This study	Orofino et al., 2018	10.1016/j.pss.2018.06.001	Durius Vallis	Durius Vallis	Mars	-17.70000	172.10000		Fluvial	Basalt	Volumetric	2.47000E+03	1.90000E+06					1.50000E-01				
This study	Orofino et al., 2018	10.1016/j.pss.2018.06.001	Al-Qahira Vallis	Al-Qahira Vallis	Mars	-18.00000	165.50000		Fluvial	Basalt	Volumetric	1.00000E+04	4.90000E+06					6.70000E-02				
This study	Orofino et al., 2018	10.1016/j.pss.2018.06.001	Samara Vallis	Samara Vallis	Mars	-23.80000	340.90000		Fluvial	Basalt	Volumetric	1.74000E+04	7.00000E+06					9.30000E-02				
This study	Orofino et al., 2018	10.1016/j.pss.2018.06.001			Mars	-25.20000	-12.40000		Fluvial	Basalt	Volumetric	2.23000E+03	3.80000E+07					3.20000E-01				Golombek et al., 2006
This study	Orofino et al., 2018	10.1016/j.pss.2018.06.001			Mars	-25.20000	-3.10000		Fluvial	Basalt	Volumetric	4.19000E+03	1.60000E+08					7.80000E-02				
This study	Kite and Mayer, 2017	10.1016/j.icarus.2016.10.010	PSP_009880_1985	Oxia Planum	Mars				Aeolian	Sedimentary deposits	Small-crater counts	2.80000E+01	3.00000E+07					1.89683E-05	1.74644E-05	2.06016E-05	Erosion rates via PlotDigitizer on Figure 7b. N.B. areas are offset one row in Table S2. Duration "10^7 to 10^8 yr"	
This study	Kite and Mayer, 2017	10.1016/j.icarus.2016.10.010	ESP_036384_1880	Aram Dorsum	Mars				Aeolian	Sedimentary deposits	Small-crater counts	1.70000E+01	3.00000E+07					2.68072E-05	2.40528E-05	2.98770E-05	Erosion rates via PlotDigitizer on Figure 7b. N.B. areas are offset one row in Table S2. Duration "10^7 to 10^8 yr"	
This study	Kite and Mayer, 2017	10.1016/j.icarus.2016.10.010	ESP_019508_1700	SW Melas Chasma	Mars				Aeolian	Paleolake and associated deposits	Small-crater counts	1.30000E+01	3.00000E+07					1.18574E-04	9.49683E-05	1.48048E-04	Erosion rates via PlotDigitizer on Figure 7b. N.B. areas are offset one row in Table S2. Duration "10^7 to 10^8 yr"	
This study	Kite and Mayer, 2017	10.1016/j.icarus.2016.10.010	PSP_007087_1700	SW Melas Chasma	Mars				Aeolian	Paleolake and associated deposits	Small-crater counts	2.90000E+01	3.00000E+07					1.30121E-04	1.09738E-04	1.54291E-04	Erosion rates via PlotDigitizer on Figure 7b. N.B. areas are offset one row in Table S2. Duration "10^7 to 10^8 yr"	
This study	Kite and Mayer, 2017	10.1016/j.icarus.2016.10.010	PSP_007501_1750	Gale	Mars				Aeolian	Light-toned layered deposits	Small-crater counts	5.50000E+01	3.00000E+07					1.26806E-04	1.07495E-04	1.49585E-04	Erosion rates via PlotDigitizer on Figure 7b. N.B. areas are offset one row in Table S2. Duration "10^7 to 10^8 yr"	
This study	Kite and Mayer, 2017	10.1016/j.icarus.2016.10.010	ESP_030880_1750	Gale	Mars				Aeolian	Light-toned layered deposits	Small-crater counts	2.80000E+01	3.00000E+07					1.21675E-04	1.07495E-04	1.37725E-04	Erosion rates via PlotDigitizer on Figure 7b. N.B. areas are offset one row in Table S2. Duration "10^7 to 10^8 yr"	
This study	Kite and Mayer, 2017	10.1016/j.icarus.2016.10.010	ESP_016277_1715	Valles Marineris (VM)	Mars				Aeolian	Light-toned layered deposits	Small-crater counts	2.80000E+01	3.00000E+07					9.94852E-05	8.56516E-05	1.15553E-04	Erosion rates via PlotDigitizer on Figure 7b. N.B. areas are offset one row in Table S2. Duration "10^7 to 10^8 yr"	
This study	Kite and Mayer, 2017	10.1016/j.icarus.2016.10.010	ESP_012340_1750	Gale	Mars				Aeolian	Light-toned layered deposits	Small-crater counts	2.50000E+01	3.00000E+07					1.93640E-04	1.55892E-04	2.40528E-04	Erosion rates via PlotDigitizer on Figure 7b. N.B. areas are offset one row in Table S2. Duration "10^7 to 10^8 yr"	
This study	Kite and Mayer, 2017	10.1016/j.icarus.2016.10.010	PSP_006190_1725	Valles Marineris (VM)	Mars				Aeolian	Light-toned layered deposits	Small-crater counts	1.70000E+01	3.00000E+07					3.45236E-04	2.48095E-04	4.80413E-04	Erosion rates via PlotDigitizer on Figure 7b. N.B. areas are offset one row in Table S2. Duration "10^7 to 10^8 yr"	
This study	Kite and Mayer, 2017	10.1016/j.icarus.2016.10.010	PSP_003896_1740	Valles Marineris (VM)	Mars				Aeolian	Light-toned layered deposits	Small-crater counts	5.80000E+01	3.00000E+07					5.58003E-04	4.42323E-04	7.03937E-04	Erosion rates via PlotDigitizer on Figure 7b. N.B. areas are offset one row in Table S2. Duration "10^7 to 10^8 yr"	
This study	Sweeney et al., 2018	10.1029/2018JE005618	InSight landing site	Elysium Planitia	Mars				Subaerial?	Basalt	Crater rim degradation	1.60000E+05	1.60000E+08					6.00000E-06				
This study	Sweeney et al., 2018	10.1029/2018JE005618	InSight landing site	Elysium Planitia	Mars				Subaerial?	Basalt	Crater rim degradation	1.60000E+05	4.80000E+08					4.00000E-06				
This study	Sweeney et al., 2018	10.1029/2018JE005618	InSight landing site	Elysium Planitia	Mars				Subaerial?	Basalt	Crater rim degradation	4.00000E+04	1.60000E+08					1.80000E-05				
This study	Sweeney et al., 2018	10.1029/2018JE005618	InSight landing site	Elysium Planitia	Mars				Subaerial?	Basalt	Crater rim degradation	4.00000E+04	4.80000E+08					8.00000E-06				
This study	Sweeney et al., 2018	10.1029/2018JE005618	InSight landing site	Elysium Planitia	Mars				Subaerial?	Basalt	Crater rim degradation	1.00000E+04	3.80000E+08					6.00000E-06				
This study	Sweeney et al., 2018	10.1029/2018JE005618	InSight landing site	Elysium Planitia	Mars				Subaerial?	Basalt	Crater rim degradation	2.50000E+03	1.30000E+08					9.00000E-06				
This study	Fanara et al., 2020	10.1016/j.icarus.2019.113434	ESP_036888_2640_RED	Planum Boreum	Mars				Mass wasting	Sedimentary	Scarp retreat		6.00000E+00					2.00000E-01			Possibly driven by ice cap processes? Images span 3 Mars years (~6 Earth years)	
This study	Farley et al. 2014	10.1126/science.1247166	Yellowknife Bay	Gale	Mars				Aeolian	Sedimentary	Cosmogenic	1.00000E-08	7.80000E+07					7.50000E-04			Cosmogenic Ar exposure age of 78 Ma. Ne and Ar data also obtained.	
This study	Li et al., 2020	10.3847/PSJ/ac9121	Central Medusae Fossae 1 A	Memnonia Sulci in Lucus Planum	Mars				Aeolian	Sedimentary	Small-crater counts	2.80000E+04	1.43000E+09					2.10000E-04				
This study	Li et al., 2020	10.3847/PSJ/ac9121	Central Medusae Fossae 1 B	Memnonia Sulci in Lucus Planum	Mars				Aeolian	Sedimentary	Small-crater counts	8.80000E+04	1.89000E+09					5.60000E-04				
This study	Li et al., 2020	10.3847/PSJ/ac9121	Central Medusae Fossae 1 C	Memnonia Sulci in Lucus Planum	Mars				Aeolian	Sedimentary	Small-crater counts	1.10000E+05	1.67000E+09					6.50000E-04				
This study	Li et al., 2020	10.3847/PSJ/ac9121	Zephyria Planum	Zephyria Planum	Mars				Aeolian	Sedimentary	Small-crater counts	7.80000E+04	4.70000E+08					1.91000E-03				
This study	Li et al., 2020	10.3847/PSJ/ac9121	Eastern Candor	Juventae Mensa in Candor Chasma	Mars				Aeolian	Sedimentary	Small-crater counts	6.70000E+03	4.20000E+08					1.14000E-03				
This study	Li et al., 2020	10.3847/PSJ/ac9121	Central Medusae Fossae 2 A	Lucus Planum	Mars				Aeolian	Sedimentary	Small-crater counts	6.40000E+04	1.81000E+09					3.90000E-04				
This study	Li et al., 2020	10.3847/PSJ/ac9121	Central Medusae Fossae 2 B	Lucus Planum	Mars				Aeolian	Sedimentary	Small-crater counts	5.30000E+04	2.59000E+09					5.00000E-04				
This study	Li et al., 2020	10.3847/PSJ/ac9121	Central Medusae Fossae 2 C	Lucus Planum	Mars				Aeolian	Sedimentary	Small-crater counts	9.80000E+04	3.41000E+09					9.00000E-05				
This study	Li et al., 2020	10.3847/PSJ/ac9121	Far East Medusae Fossae A	Amazonis Mensa	Mars				Aeolian	Sedimentary	Small-crater counts	5.50000E+04	2.70000E+08					4.01000E-03				
This study	Li et al., 2020	10.3847/PSJ/ac9121	Far East Medusae Fossae B	Gordii Dorsum	Mars				Aeolian	Sedimentary	Small-crater counts	1.30000E+05	6.80000E+08					7.50000E-04				
This study	Li et al., 2020	10.3847/PSJ/ac9121	Far East Medusae Fossae C	Gordii Dorsum	Mars				Aeolian	Sedimentary	Small-crater counts	2.00000E+05	3.70000E+08					1.69000E-03				
This study	Li et al., 2020	10.3847/PSJ/ac9121	East Medusae Fossae A	Eumenides Dorsum	Mars				Aeolian	Sedimentary	Small-crater counts	1.20000E+05	7.30000E+08					6.60000E-04				
This study	Li et al., 2020	10.3847/PSJ/ac9121	East Medusae Fossae B	Eumenides Dorsum	Mars				Aeolian	Sedimentary	Small-crater counts	2.30000E+05	4.20000E+08					2.59000E-03				
This study	Li et al., 2020	10.3847/PSJ/ac9121	Upper Mount Sharp	Aeolis Mons	Mars				Aeolian	Sedimentary	Small-crater counts	1.00000E+03	2.04000E+09					1.70000E-04				
