Locality,Glacier,Region,Lat,Long,Present in Main?,Notes
"Dorrel Rock, Marie Byrd Land",West Antarctic Ice Sheet,Antarctica,-74.7039,-110.5393,TRUE,
Zaravshanskiy,Zaravshanskiy,Central Asia,39.324543,69.395205,TRUE,
"Eqaluit tassersuat, Infinity Lake, and Ted Lake, Greenland","S of Jakobshavn Isbæ, Greenland",Greenland,69.2167,-49.9857,TRUE,
Jakobshavn Isbræ,Jakobshavn Isbræ,Greenland,69.2167,-49.9857,TRUE,
Breiðamerkurjökull,Breiðamerkurjökull,Iceland,64.153316,-16.408583,TRUE,
Antarctic peninusla,Ferraz,Antarctica,62.1,58.4,FALSE,
"Eastern Pyrenees, France",Pyrenees Mountain Glaciers,France,42.77138606,0.1389479731,TRUE,
"Cairngorm Mountains, Scotland",Scottish Ice Sheet,British Isles,57.06139676,-3.606056445,TRUE,
Antarctic peninusla,King Sejong,Antarctica,62.2,58.7,FALSE,
Wrangell-St. Elias National Park,Tyndall Glacier,Alaska,60.79846825,-141.0979521,TRUE,
"Mt. Erie, Puget Lowland, Washington",Cordilleran ice sheet,"Washington, USA",49.03568012,-122.7136664,TRUE,
Antarctic peninusla,Jubany,Antarctica,62.2,58.6,FALSE,
Antarctic Peninsula,Fourcade,Antarctica,-62.2167,-58.6667,TRUE,
Antarctic Peninsula,Bolton,Antarctica,-65.0167,-62.9667,TRUE,
Antarctic Peninsula,Trooz,Antarctica,-65.3333,-63.9667,TRUE,
Antarctic Peninsula,Cadman,Antarctica,-65.6167,-63.7833,TRUE,
Antarctic Peninsula,Funk,Antarctica,-65.5667,-63.7667,TRUE,
Antarctic Peninsula,Lever,Antarctica,-65.5,-63.6667,TRUE,
Antarctic Peninsula,Bagshawe,Antarctica,-64.9333,-62.5833,TRUE,
Antarctic Peninsula,Renard/Krebs,Antarctica,-64.6667,-61.6333,TRUE,
Antarctic Peninsula,Cayley,Antarctica,-64.3333,-60.9667,TRUE,
Antarctic Peninsula,Breguet,Antarctica,-64.167133,-60.799957,TRUE,
Patagonia,San Rafael,Southern Chile,-46.7631,-73.8184,TRUE,
Patagonia,Jorge Montt,Southern Chile,-48.1348,-73.4278,TRUE,
Patagonia,Europa,Southern Chile,-49.2847,-74.8149,TRUE,
Patagonia,Tyndall,Southern Chile,-50.9961,-73.6558,TRUE,
Antarctic peninusla,Great Wall,Antarctica,62.2,59,FALSE,
"Kebnekaise, Sweden",Storglaciären,Sweden,67.883963,18.563019,TRUE,
"Kråkenes, Norway",Younger Dryas cirque glacier at Kråkenes,Norway,62.02684916,4.986754408,TRUE,
East Antarctica,Gamburtsev Mountains,Antarctica,-80.5,76,TRUE,
New Zealand ,Franz Josef,Oceania,-43.4607,170.1861,TRUE,
"Retezat Mts, Southern Carpathians",Retezat Mts,Romania ,45.3707,22.9043,TRUE,
,Laurentide ice sheet,"Wisconsin, USA",43.7844,-88.7879,TRUE,
"British Columbia, Canada",Klinaklini Valley,Canada,51.75,-125.0975,TRUE,
Antarctic peninusla,Rothera,Antarctica,67.5,68.1,FALSE,
St. Elias Range,St. Elias Mountains averaged,Alaska,60.73546071,-139.2350794,TRUE,
Dronning Maud Land Mountains,unnamed: Dronning Maud Land Mountains,Antarctica,-84.998777,-160.002447,TRUE,
"Alps, Switzerland",Vorab,Switzerland,46.9065511,9.157197405,TRUE,
"Alps, Switzerland",Rhone,Switzerland,46.621603,8.403988,TRUE,
"Klinaklini Valley, Coast Mountains","unnamed: Klinaklini Valley, Coast Mountains","British Columbia, Canada",51.408872,-125.809366,TRUE,
Coast Mountains,unnamed: Coast Mountains,"British Columbia, Canada",51.33574375,-125.2697642,TRUE,
Southern Coast Mountains,unnamed: Southern Coast Mountains,"British Columbia, Canada",50.791846,-124.002932,TRUE,
Wrangell Mountains,Kennicott Glacier,Alaska,61.599909,-143.069508,TRUE,
"Valais, Switzerland",Haut Glacier d'Arolla,Arolla series of the Dent Blanche nappe,45.991436,7.494765,TRUE,
Chilean Andes,unnamed: Chilean Andes,Chile,55,-85,TRUE,
"Wright Valley, Antarctica",Meserve,Antarctica,-77.49563435,162.3524686,TRUE,
Trift,Trift,Swiss Alps,46.66459966,8.370379538,TRUE,
"Taan Fjord, Icy Bay",Tyndall,Alaska,60.79846825,-141.0979521,TRUE,
Rwenzori Mountains,unnamed: Rwenzori Mountains,East Africa,0.385404,29.870036,TRUE,
Dudh Catchment,unnamed: Dudh Catchment,Himalayas,28.696444,84.166468,TRUE,
Nar Catchment,unnamed: Nar Catchment,Himalayas,28.696444,84.166468,TRUE,
Khansar Catchment,unnamed: Khansar Catchment,Himalayas,28.696444,84.166468,TRUE,
NW Iceland,Vatnajökull,Iceland,65.776303,-22.394883,TRUE,
"Torngat Mountains, Canada","unnamed: Torngat Mountains, Canada",Labrador,59.56226,-64.385925,TRUE,
Barents Sea-Svalbard continental margin,unnamed: Barents Sea-Svalbard continental margin,Northern Europe,67.18026,25.405849,TRUE,
Tierra del Fuego,Marinelli Glacier,Chile,-54.53373,-69.572074,TRUE,
Norway,unnamed: general Norway,Norway,62.280108,8.689881,TRUE,
Laurentia,Laurentide Ice Sheet,Laurentia,55,-85,TRUE,
"Dry Valleys, East Antarctica",Mackay Glacier,East Antarctica,-76.983656,161.526477,TRUE,
"Dry Valleys, East Antarctica",Mackay Glacier,East Antarctica,-76.983656,161.526477,TRUE,
Norwegian margin,unnamed: Norwegian margin,Norway,62.280108,8.689881,TRUE,
South Shetland Islands,Maxwell Bay,Antarctica,-62.250719,-58.852747,TRUE,
Antarctic Peninsula,Hope Bay,Antarctica,-63.395005,-57.063033,TRUE,
Antarctic Peninsula,Lapeyrere Bay/Iliad Glacier,Antarctica,-64.450573,-63.450171,TRUE,
Antarctic Peninsula,Charlotte Bay,Antarctica,-64.569369,-61.68087,TRUE,
Antarctic Peninsula,Andvord Bay,Antarctica,-64.811363,-62.633288,TRUE,
Antarctic Peninsula,Flandres Bay,Antarctica,-65.033333,-63.333333,TRUE,
Antarctic Peninsula,Beascochea Bay,Antarctica,-65.5,-64,TRUE,
Sognefjord drainage basin,unnamed: Sognefjord drainage basin (1),Norway,61.125862,6.52565,TRUE,
Sognefjord drainage basin,unnamed: Sognefjord drainage basin (2),Norway,61.115029,6.492124,TRUE,
"Engabreen, Norway","unnamed: Engabreen, Norway",Norway,66.666128,13.895307,TRUE,
Laurentia,Laurentide ice sheet,North America,55,-85,TRUE,
Keewatin Peninsula Ontario,Laurentide ice sheet,North America,55,-85,TRUE,
"Muir Inlet, Glacier Bay",Muir,Alaska,58.871742,-136.119771,TRUE,
Laurentia,Laurentide ice sheet,North America,55,-85,TRUE,
"Mt. Mansfield, Vermont",Laurentide ice sheet,North America,55,-85,TRUE,
Shackleton Range,Antarctic ice sheet,Antarctica,-80.50029,-25.000236,TRUE,
"Marie Byrd Land, Dorrel Rock",Antarctic ice sheet,Antarctica,-75,-111,TRUE,
Ellsworth Mountains,Antarctic ice sheet,Antarctica,-78.712118,-85.160098,TRUE,
Lambert basin,Antarctic ice sheet,Antarctica,-73,68,TRUE,
"Yosemite, California",Tuolumne ,USA,37.870767,-119.377658,TRUE,
"Little Lake, Coastal Range","unnamed: Little Lake, Coastal Range","Oregon, USA",44.167573,-123.582359,TRUE,
Patagonian Andes,unnamed: Patagonian Andes,Patagonia,-47.485063,-73.411058,TRUE,
"Baffin Island, Canada",Oliver Glacier,Canada,72.118069,-76.801167,TRUE,
Vestfjorden Norway,Fennoscandian Ice Sheet,Norway,67.836118,15.039829,TRUE,
Norway,Modern Norwegian glaciers,Norway,67.836118,15.039829,TRUE,
Antarctic Peninsula,Rutford Ice Stream,Antarctica,-79,-80,TRUE,
Annapurna III,(Milarepa's Glacier),Alpine,28.584358,83.988838,TRUE,
Argentina,Lago Buenos Aires,Patagonia,-46.513391,-72.037582,TRUE,
Norway/Sweden,unnamed: Norway/Sweden,Scandinavia,67.18026,25.405849,TRUE,
Cairngorm Mountains,unnamed: Cairngorm Mountains,Scotland,57.16010155,-3.823192313,TRUE,
