Latitude	Longitude	Hash	Lithology	Age	Age Uncert	Unparsed Lithology
18.17333	-65.97722	18.17333;-65.97722	basalt, volc, ign, 	105.5	40.0	mafic volcanic rocks | mesozoic sedimentary and volcanic rocks | 
18.18571	-65.96145	18.18571;-65.96145	basalt, volc, ign, 	105.5	40.0	mafic volcanic rocks | mesozoic sedimentary and volcanic rocks | 
18.16222	-66.04	18.16222;-66.04	basalt, volc, ign, 	105.5	40.0	mafic volcanic rocks | mesozoic sedimentary and volcanic rocks | 
18.24269	-66.00959	18.24269;-66.00959	sed, 	14.1815	9.0	sedimentary rocks | cenozoic sedimentary rocks | 
18.24667	-66.09361	18.24667;-66.09361	sed, 	14.1815	9.0	sedimentary rocks | cenozoic sedimentary rocks | 
18.23306	-66.04806	18.23306;-66.04806	basalt, volc, ign, 	105.5	40.0	mafic volcanic rocks | mesozoic sedimentary and volcanic rocks | 
18.2487	-66.02763	18.2487;-66.02763	sed, 	14.1815	9.0	sedimentary rocks | cenozoic sedimentary rocks | 
18.25889	-66.04	18.25889;-66.04	sed, 	14.1815	9.0	sedimentary rocks | cenozoic sedimentary rocks | 
18.23415	-65.88533	18.23415;-65.88533	sed, 	14.1815	9.0	sedimentary rocks | cenozoic sedimentary rocks | 
18.21607	-65.92617	18.21607;-65.92617	basalt, volc, ign, 	105.5	40.0	mafic volcanic rocks | mesozoic sedimentary and volcanic rocks | 
18.25849	-65.96808	18.25849;-65.96808	sed, 	14.1815	9.0	sedimentary rocks | cenozoic sedimentary rocks | 
18.2945	-66.04509	18.2945;-66.04509	sed, 	14.1815	9.0	sedimentary rocks | cenozoic sedimentary rocks | 
18.34227	-66.00598	18.34227;-66.00598	sed, 	14.1815	9.0	sedimentary rocks | cenozoic sedimentary rocks | 
18.31848	-65.88891	18.31848;-65.88891	sed, 	14.1815	9.0	sedimentary rocks | cenozoic sedimentary rocks | 
18.32881	-65.75081	18.32881;-65.75081	sed, 	14.1815	9.0	sedimentary rocks | cenozoic sedimentary rocks | 
18.2725	-65.72167	18.2725;-65.72167	sed, 	14.1815	9.0	sedimentary rocks | cenozoic sedimentary rocks | 
18.29895	-65.69383	18.29895;-65.69383	sed, 	14.1815	9.0	sedimentary rocks | cenozoic sedimentary rocks | 
