agemax	agemin	age	rocktype	rockname	rockdescrip	rockstratname	rockcomments	refstrings	Latitude	Longitude
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	44.50303	-68.79949
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	42.42193	-124.43004
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	38.06144	-121.79374
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	30.40109	-81.40005
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	36.75088	-121.80446
23.03	NaN	23.03	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	32.75662	-117.25222
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	32.97511	-117.27038
2.58	NaN	2.58	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	38.02625	-121.78287
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	33.62915	-117.95848
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	33.23229	-117.41691
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	34.97083	-120.65028
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	34.69308	-120.60287
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	44.92704	-124.02289
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	44.01728	-124.13713
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	42.85487	-124.54338
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	41.93956	-124.20388
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	48.01971	-122.21173
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	32.55201	-117.12695
56.0	33.9	44.95	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	45.4875	-123.90167
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	43.66976	-124.20521
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	37.23881	-76.39672
