Country,Location,Station ID,Short-term erosion rate (mm kyr^-1),Basin area (km^2),Latitude,Longitude,Koppen¡VGeiger classification,Aridity Index,Aridity Index category,Reference
US,Schuylkill River at Berne PA,1470500,48.03957491,919.44574,40.5225932,-75.9982682,Df,1.0971,Humid,USGS
US,French Creek near Phoenixville PA,1472157,15.95507949,153.0682908,40.151389,-75.601667,Df,1.0578,Humid,USGS
US,Perkiomen Creek at Graterford PA,1473000,42.98741227,722.606652,40.2295473,-75.451567,Df,1.0425,Humid,USGS
US,Valley Creek at PA Turnpike Br near Valley Forge,1473169,22.12179547,53.8717504,40.079167,-75.461111,Df,1.0568,Humid,USGS
US,West Branch Brandywine Creek near Honey Brook PA,1480300,36.89804769,48.4327756,40.072778,-75.861111,Df,1.1259,Humid,USGS
US,West Branch Brandywine Creek at Modena PA,1480617,23.42748936,142.44934,39.961667,-75.801667,Df,1.0854,Humid,USGS
US,East Branch Brandywine Creek below Downingtown PA,1480870,21.64724199,232.8399212,39.968611,-75.673611,Df,1.0798,Humid,USGS
US,Brandywine Creek at Chadds Ford PA,1481000,39.58981072,743.326556,39.8698328,-75.5932623,Df,1.08,Humid,USGS
US,BRANDYWINE CREEK AT WILMINGTON DE,1481500,41.92397571,813.256232,39.7695081,-75.5766963,Df,1.0706,Humid,USGS
US,CHOPTANK RIVER NEAR GREENSBORO MD,1491000,3.88827337,292.668644,38.9972023,-75.7858074,Cf,0.9785,Humid,USGS
US,Corey Creek near Mainesburg PA,1516500,23.56629886,31.5978536,41.7909075,-77.0146877,Df,0.8283,Humid,USGS
US,Elk Run near Mainesburg PA,1517000,30.48122292,26.4178776,41.8150742,-76.9649635,Df,0.83,Humid,USGS
US,Blockhouse Creek Tributary at Liberty PA,1549100,64.18178532,2.79718704,41.567778,-77.101667,Df,0.9254,Humid,USGS
US,Blockhouse Creek at Buttonwood PA,1549300,50.92683641,71.4836688,41.495278,-77.150556,Df,0.9913,Humid,USGS
US,Steam Valley Run at Buttonwood PA,1549350,28.70197025,13.83053592,41.494167,-77.150833,Df,0.9753,Humid,USGS
US,Blockhouse Creek near English Center PA,1549500,59.56330258,97.6425476,41.473611,-77.231111,Df,0.9334,Humid,USGS
US,Conodoguinet Creek Trib No. 1 near Enola PA,1570100,37.74827238,1.99429076,40.290833,-76.993889,Df,0.9659,Humid,USGS
US,Conodoguinet Creek Trib No. 3 near Enola PA,1570300,85.43882794,0.98419544,40.301389,-76.949167,Df,0.9705,Humid,USGS
US,PATAPSCO RIVER AT HOLLOFIELD MD,1589000,46.1183215,738.14658,39.310306,-76.792417,Cf,0.9839,Humid,USGS
US,PATAPSCO RIVER NEAR CATONSVILLE MD,1589025,69.65352072,779.586388,39.25125,-76.763778,Cf,0.9742,Humid,USGS
US,PATAPSCO RIVER NEAR ELKRIDGE MD,1589035,68.53266809,808.076256,39.227333,-76.723,Cf,0.9541,Humid,USGS
US,PATUXENT RIVER NEAR BOWIE MD,1594440,14.19341582,901.315824,38.955917,-76.693694,Cf,0.9658,Humid,USGS
US,NORTH BRANCH POTOMAC RIVER NEAR CUMBERLAND MD,1603000,37.7535647,2271.419476,39.6218135,-78.7734195,Df,0.7828,Humid,USGS
US,CONOCOCHEAGUE CREEK AT FAIRVIEW MD,1614500,28.71944262,1279.454072,39.7163969,-77.8247803,Df,0.8865,Humid,USGS
US,MONOCACY R AT REICHS FORD BRIDGE NR FREDERICKMD,1643020,43.83781019,2116.020196,39.3878802,-77.377485,Df,0.8587,Humid,USGS
US,SNAKEDEN BRANCH AT RESTON VA,1645784,250.2384554,2.04609052,38.93,-77.345278,Cf,0.8991,Humid,USGS
US,NORTH BRANCH ROCK CREEK NEAR ROCKVILLE MD,1647740,10.53983289,32.37485,39.1026081,-77.1197016,Cf,0.9363,Humid,USGS
US,NORTHWEST BRANCH ANACOSTIA RIVER NR COLESVILLE MD,1650500,154.4672775,54.389748,39.0656745,-77.0293356,Cf,0.9474,Humid,USGS
US,S F QUANTICO CREEK NEAR INDEPENDENT HILL VA,1658500,19.8614313,19.73570856,38.5873427,-77.4285958,Cf,0.8817,Humid,USGS
