Be10_exposure_yr	Al26_exposure_yr
20279.194432424916	
7356.033801640736	
10049.251314032526	
6503.616360088342	
18936.260108250106	
10004.041348813233	
21914.796523115518	
27768.92493988507	
31014.901664142944	
10684.037310497988	
30469.571397865373	
48705.14326353784	
7691.396410948804	
42607.526314086215	
48007.329684024575	
16265.990171394245	
29087.622056153363	
9835.42125298758	
31007.17043572384	
74213.81373237829	
42994.39067286937	
3137.5747823191773	
14676.245316138707	
11772.63082540404	
24735.190775257775	
18257.276562830608	
18167.511428766597	
25363.435150478985	
11480.061135577447	
5852.231454161808	
1814.6733745936967	
669.6996439863456	
7848.238473005117	
9546.763819129488	
10080.286414110265	
588.0704368132517	
3931.8983737277613	
10047.841834643254	
7761.243227378966	
5231.3038444855	
2618.317893714844	
1527.3626696988563	
15617.890198829064	
2085.182912579992	
5039.950407779892	
2708.4496120468134	
263.8349126559102	
360.06535897968695	
395.29999498724965	
2279.2883338382444	
261.51029177750155	
912.2036937579278	
1044.1953152562864	
832.307761982951	
1040.8733186957243	
760.7032877042467	
314.41985802149964	
292.27095015386516	
849.0737720024252	
216.85447988959035	
132.82956256330178	
212.91075245958558	
361.53192663212144	
706.1856106578786	
1679.976191299342	
14391.736324828767	
3945.4652418970404	
67296.34780084793	
60959.471950894345	
72050.77745816064	
79792.86558895113	
129977.33570950791	
166427.3999499154	
227460.7188011399	
195363.12262975817	
320193.19354764355	
212460.9636691229	
321377.3206556667	
504614.5143808487	
21505.586214856914	
432379.89058601146	
415440.3131122992	
35562.1072199307	
581297.6642255968	
50870.8601888522	
47807.58576478842	
50339.56022586772	
64478.75677309946	
73041.89657878362	
31228.089410306096	
29322.99044086085	
73743.29323933378	
24447.22661675431	
93619.94577799265	
39245.13007453968	
27750.0818297088	
36840.422064814564	
54551.95262887127	
16384.779835650173	
44982.678741626514	
28502.385906738797	
38494.09686359142	
23679.570213133084	
18849.60866732553	
53195.42248435642	
21611.02183852751	
74284.66928460177	
16971.480889814957	
131550.75152318276	
91644.81193129612	
36630.71688639696	
41205.030720819756	
120439.25505948171	
134183.33409224323	
13394.186675462635	
27540.164794606197	
21165.32275020693	
20557.46627984917	
17713.5913661342	
10088.736388530682	
67672.04799117672	
23547.7238534475	
39692.50469691439	
78732.89203388094	
25119.729417968952	
41380.94479460737	
102854.41325157757	
32205.736950038838	
35787.3330873778	
57386.48569826937	
49042.8323345882	
61155.3500800143	
52021.89443420491	
51326.85116126506	
14949.381400418042	
34030.55633130449	
19611.29919642987	
14250.398292960703	
18026.40128012399	
25611.277017051772	
36148.437054495786	
51765.209024908014	
53475.18605183062	
126412.11075804276	
15214.346551102084	
18359.886744165782	
21273.080437249766	
68495.93301738428	
93029.15209821021	
12404.409014132356	
17545.699319616946	
23620.37934164211	
32979.60523761492	
15903.184134636875	
68038.21454754651	
30698.26327663953	
25476.784463651547	
26804.326301883004	
28369.480792287104	
68807.39667723785	
57048.67710841577	
26172.68020405983	
30066.905838516046	
32949.374831433146	
45282.96919297298	
87018.59786491096	
20006.254059026953	
15460.251013806102	
25296.589759817045	
38402.12671751891	
15098.243049199713	
41441.31213949565	
22907.431354001743	
15806.004212911257	
17563.455553552467	
27221.920110555955	
21900.20887451579	
26615.895495321838	
28942.339202851304	
25046.406175707973	
21952.543894601575	
20109.30339797024	
21468.24474726712	
18324.497209868943	
13426.520576027096	
42940.43126374012	
20333.618910799963	17282.70685375383
37486.9641697472	28491.19139798001
40587.05461377589	33564.58140118164
35698.63252072233	31100.074348171845
119970.07797830865	
60191.97015282798	
133687.79341868826	
204400.26796651183	
113062.54155085643	
77237.34006968982	
75765.07842065324	
46530.29795693158	
86152.79999423953	
68005.60438238847	
45159.29841478388	
73594.65672182506	
48606.517120395634	
33439.659852828976	
49143.768108547876	
83346.96650891981	
38365.96117967688	
7600.480631051865	
251074.45619503292	
19803.41099352672	
37592.31271927281	
9185.0665129142	
49781.85351236489	
35152.448212962554	
17099.538479715608	
31250.67995047424	
41483.24969400668	
33437.00369866311	
35645.26243635672	
61596.78384761904	
75309.48057275086	
35240.52567136318	
51383.05591065139	
62694.295336229494	
71407.65854805484	
60265.04495190353	
88825.40691813297	
9608.871087489502	
1631.9618700936487	
9803.809285408815	
59766.64723785693	
81383.86026186	
32973.18231335014	
70636.85221476557	
28777.878382847302	
36325.012187168664	
80366.75083791485	
