Latitude	Longitude	Precipitation_mm_yr
61.641	7.7698	1430.8
61.641	7.7698	1430.8
72.5	-38.45	250.9
67.18026	25.40585	783.5
67.18026	25.40585	783.5
57.1601	-3.82319	1136.4
66.66613	13.89531	4853.6
61.02561	-145.67664	3082.9
61.02561	-145.67664	3082.9
61.02561	-145.67664	3082.9
0.3854	29.87004	6860.9
-75.0	-111.0	1651.7
60.69	6.6792	2601.4
61.5792	7.3147	1930.0
66.46491	13.62579	4765.0
67.8556	15.5942	2118.2
61.775	6.92	3686.5
61.5828	8.32275	1639.3
60.006	6.551	2333.5
61.641	7.7698	1430.8
61.4456	7.1814	2973.4
-71.0	70.0	94.9
45.3707	22.9043	1379.5
63.11533	19.0529	597.6
44.16757	-123.58236	2150.7
60.49829	-139.50556	2818.6
51.75	-125.0975	1297.6
-44.79836	167.95005	6550.5
-84.99878	-160.00245	420.7
46.0054	7.7457	1297.7
46.0054	7.7457	1297.7
-79.0	-80.0	222.5
-75.2536	-100.8701	727.1
61.16691	-145.33329	2812.1
-34.0	-70.2	1843.7
46.31966	7.22648	2114.8
46.31966	7.22648	2114.8
46.31966	7.22648	2114.8
46.31966	7.22648	2114.8
46.31966	7.22648	2114.8
46.31966	7.22648	2114.8
46.31966	7.22648	2114.8
46.31966	7.22648	2114.8
46.31966	7.22648	2114.8
46.31966	7.22648	2114.8
46.31966	7.22648	2114.8
46.31966	7.22648	2114.8
46.31966	7.22648	2114.8
46.6646	8.37038	2672.3
46.6646	8.37038	2672.3
46.6646	8.37038	2672.3
46.6646	8.37038	2672.3
46.6646	8.37038	2672.3
46.6646	8.37038	2672.3
46.6646	8.37038	2672.3
46.6646	8.37038	2672.3
46.6646	8.37038	2672.3
46.6646	8.37038	2672.3
46.6646	8.37038	2672.3
46.6646	8.37038	2672.3
46.6646	8.37038	2672.3
46.6646	8.37038	2672.3
46.90655	9.1572	1640.0
-83.74999	170.92619	274.8
67.24603	-49.81962	395.0
-80.50029	-25.00024	199.6
-71.0	70.0	94.9
45.5742	24.63862	1425.4
-82.41741	59.15345	40.0
-71.0	70.0	94.9
54.0	-89.0	609.4
72.11807	-76.80117	320.5
59.56226	-64.38593	1506.0
-47.48506	-73.41106	5013.7
60.1755	-141.1577	4783.0
60.1755	-141.1577	4783.0
60.1755	-141.1577	4783.0
72.5	-38.45	250.9
51.40887	-125.80937	2171.5
72.5	-38.45	250.9
72.5	-38.45	250.9
