Latitude	Longitude	Precipitation_mm_yr
11.12446	75.82558	3019.2
14.84272	74.1214	3521.6
8.93441	76.53785	2503.4
22.21052	72.76558	922.4
9.82864	76.38187	3062.2
18.21195	83.94022	1198.8
12.84344	74.82989	3603.4
9.51728	76.3793	3023.8
14.58164	80.19241	1139.2
10.17885	76.16405	2906.2
11.77366	79.7933	1262.5
19.37967	85.08403	1345.2
22.35308	72.40838	868.7
21.30251	72.11076	892.2
21.55917	87.37836	1848.8
8.64978	78.12731	722.6
21.09743	72.69576	1441.8
11.94488	75.29606	3431.2
18.3425	84.13322	1250.3
16.1538	97.56403	4586.6
6.21603	102.23543	2833.5
2.80224	101.40875	2759.8
5.57713	100.33886	2361.5
2.05259	102.54814	2071.0
3.52836	103.46935	3131.2
4.00095	100.75431	2122.4
3.33721	101.23035	2196.5
5.34031	103.1466	3015.9
2.42064	111.29573	3827.5
13.48897	100.81416	1367.5
13.36141	100.0064	1177.0
6.90084	101.24639	2067.4
13.08802	109.32814	2202.0
18.76527	105.76627	2094.3
19.78672	105.93358	1776.3
10.41334	106.79923	1668.3
20.67306	106.71144	1741.6
15.873	108.39325	2610.6
4.77109	114.59571	3270.7
34.46532	119.79069	979.9
23.44818	116.87233	1422.4
21.24298	110.64659	1725.2
24.85117	118.65119	1134.8
24.42413	117.92569	1342.6
39.43245	119.30018	614.0
38.20404	117.97089	567.2
26.07442	119.68326	1355.5
21.78115	112.03937	2634.7
21.59549	109.07804	2078.2
27.94609	120.91877	1649.3
30.46559	121.88372	1236.2
38.15775	118.07758	568.3
39.9136	124.2966	1021.4
19.3021	108.65923	1016.4
20.07986	110.38185	1694.2
37.95956	139.12968	2090.1
35.02414	132.22673	1672.9
41.01437	140.36459	1570.2
36.76078	137.22193	2418.8
35.03187	136.74634	1676.9
38.57442	141.45819	1374.3
33.72675	136.01484	3019.5
36.92053	137.42768	2645.0
36.22014	136.13389	2323.0
38.92488	139.80851	2330.0
39.69136	140.06117	1984.2
34.76953	138.294	2163.2
37.66744	138.77471	1932.3
36.78942	137.07596	2438.1
34.64709	137.80006	1871.3
35.51659	135.28873	2001.2
33.14298	130.34307	1945.0
35.78694	126.75949	1264.3
36.88384	126.84431	1217.1
34.93951	127.77418	1536.5
34.7755	126.37743	1313.8
40.60974	-74.04665	1227.6
28.93933	-95.29849	1325.9
40.64803	-124.30955	1529.8
60.31469	-144.99648	3530.0
61.28259	-150.57558	690.5
49.1177	-123.18676	1362.7
-4.90114	-81.14555	124.3
11.04905	-74.8306	753.7
-41.02552	-62.78556	401.5
41.84944	19.37476	1364.7
64.69647	40.23952	689.6
40.86474	121.80824	662.5
40.85893	121.55778	657.5
38.95621	117.80207	559.1
33.19554	118.61925	1086.9
22.6564	113.71716	1948.6
15.78677	95.07189	3298.5
20.29248	86.70605	1832.2
22.21527	88.04267	1745.3
16.72371	82.33317	1325.7
-25.20535	33.51631	1107.2
-7.75612	39.31866	1320.1
-2.52892	40.52156	1216.3
-43.83601	169.03407	4242.2
-8.48183	143.49125	2000.0
-7.83303	145.02564	2440.0
-7.07476	145.31391	3420.7
-44.67813	167.9242	4830.0
-42.72165	170.95104	3204.2
-6.91229	107.94498	2732.8
14.76913	120.75008	1920.7
-6.32263	108.13746	1841.1
-6.81462	108.16195	2342.2
16.04364	120.19704	2543.2
-7.67444	108.80167	3041.5
-42.77723	173.37306	912.3
-43.89834	172.2128	641.0
-43.39081	172.70916	673.2
-6.74815	108.15175	2216.9
-7.56423	112.86903	1765.6
-7.56283	112.86828	1765.6
-6.85058	112.57501	1680.4
21.61935	72.57744	1042.8
20.27389	106.57013	1835.3
13.53287	100.59771	1372.6
15.73076	80.92729	1163.9
43.10342	13.8413	692.8
36.59377	2.74198	649.3
36.74283	3.13214	643.9
43.28876	13.72526	651.8
44.52716	12.27988	646.4
44.31994	12.34212	633.6
36.53626	-121.92835	605.8
43.92299	12.9041	745.3
41.29257	-124.09137	1877.8
33.5954	130.35697	1742.2
40.97255	-124.12193	1506.9
42.894	13.91642	687.5
43.64266	13.37308	682.9
41.97964	15.02809	489.8
43.8291	13.05467	719.9
36.79037	34.83099	599.8
37.40027	15.08911	534.3
41.04012	19.44307	911.6
35.03262	136.73338	1674.5
40.81265	19.85858	897.7
34.03537	-6.83445	488.7
11.01473	-71.16586	485.2
40.38643	16.85935	491.4
42.46817	14.2273	706.9
44.59174	12.27998	647.6
49.68828	-123.17605	2918.9
36.83918	3.6678	699.4
34.22911	-119.26323	466.7
-20.3045	44.26342	764.9
-15.04347	128.14724	882.1
40.82363	19.367	849.2
50.93097	-124.86018	1681.6
51.09222	-125.62611	2382.1
10.23664	-66.64531	964.9
43.68023	10.28069	897.6
35.99898	126.66698	1258.0
36.29805	34.04784	605.9
43.27034	141.37146	1585.9
42.2002	41.6425	2087.6
41.5792	32.04878	975.8
41.74071	12.23443	785.9
30.36476	-9.60423	254.4
56.62639	-132.37751	3751.1
36.72631	34.90817	613.3
36.56549	35.5595	916.5
41.60451	41.57453	3125.0
36.03917	0.13405	386.3
41.543	-124.07255	2228.4
-39.6874	-62.08966	534.2
35.09002	128.93489	1428.5
37.76227	126.18932	1267.6
37.17924	-110.8954	155.8
38.45058	-123.12908	1175.5
41.38076	36.65942	817.4
34.26376	-6.6731	545.3
54.13164	-130.09483	3355.8
41.12667	30.64862	858.5
45.34955	37.39978	588.9
35.12255	-2.33906	333.5
41.73487	35.95613	749.2
40.7225	0.86718	589.0
39.33184	49.36318	317.1
46.11442	1.43447	1011.6
69.21184	-138.39476	437.0
45.59412	-1.05857	844.1
60.18675	-162.4276	641.9
43.8528	13.00956	737.9
42.97931	13.87618	715.3
18.27192	-66.00862	1848.2
43.16274	13.81106	680.3
18.43772	-65.87828	2065.4
-39.39756	176.8856	1081.6
43.72033	13.22062	708.2
-37.99276	177.26766	1779.6
-41.3719	175.14007	1279.0
43.47404	13.6418	651.1
14.77664	120.65716	2015.8
-39.56554	176.91369	860.7
51.54862	-2.98445	1060.7
10.17111	-64.70891	651.2
-41.25313	172.09719	2379.0
43.29482	13.74278	636.0
-37.85342	177.58992	2071.7
-37.77654	178.47933	1670.0
-38.71188	177.94054	1200.6
-37.94439	177.00972	1576.0
-39.56805	176.92649	862.6
47.82205	-122.03197	1482.0
-39.59706	176.94494	856.6
-39.12505	177.1921	1394.7
-41.72885	171.58901	1979.1
-43.03561	170.42238	4085.1
34.681	135.41019	1349.0
29.98989	-93.78769	1594.4
50.30222	-63.80333	1061.9
35.7412	140.84647	1671.0
48.125	-69.70735	1068.4
48.31254	-122.38783	944.1
67.18083	23.55833	777.0
32.02753	-80.87925	1204.8
46.32019	30.31625	435.0
53.67313	14.5312	606.4
-19.68654	147.58461	922.4
53.9051	8.86014	902.8
54.34834	18.94748	621.6
-34.0162	-58.33034	1157.9
68.2679	54.05504	527.5
66.43947	143.14726	301.2
5.78017	0.67274	850.4
47.09057	39.28129	593.9
45.93613	48.79558	191.6
22.9135	120.17612	1765.4
52.40614	-4.08961	1460.7
-37.90944	176.88152	1482.2
51.98391	-2.17663	737.7
54.4918	-0.61211	659.4
10.47087	-64.19182	719.0
55.92812	-4.52178	1607.1
55.01126	-1.41638	649.1
4.7562	-6.59968	1479.0
46.95916	-123.83613	2073.2
51.61629	-2.66104	952.7
50.28416	-64.33663	1062.3
51.55155	-2.72891	961.1
33.88514	-78.00911	1450.9
37.59894	-76.36244	1190.7
5.10354	-2.93669	1538.0
38.86853	-75.03082	1153.6
30.18529	-89.52656	1591.8
51.38571	4.21361	862.5
51.06151	-80.90907	713.4
38.01533	-76.36949	1222.8
35.94154	-76.69381	1283.0
33.13526	-79.2588	1437.0
31.3178	-81.29202	1249.8
52.96572	-82.25865	626.7
53.52818	8.5641	843.3
4.39662	11.272	1234.2
31.13744	-87.94395	1639.9
