Reference	Reference DOI	Sample_ID	Location_ID	Basin_ID	Basin	Place	Region	Latitude	Longitude	Elevation	Season	Observation Type	Sample Type	filtersize_mum	Area (km2)	Time interval (yr)	Discharge_m3_s	Annual_Discharge_m3_s	TSS_mg_L	TSS_kg_s	TSS_km3_yr	Erosion rate (mm/yr)	Sand_perc	Silt_perc	Clay_perc
Garzanti et al., 2011		BGD-GGS-111143-GZT17	BGD-GGS-111143	4035	Ganges	Bangladesh, Meghna Delta region	Bangladesh	24.05497	89.03127		Summer	single	SS		1999000	0.00273972602739726		38129	3100	118199.9	1.380574832	0.690632732366183			
Garzanti et al., 2011		BGD-GGS-111143-GZT18	BGD-GGS-111143	4035	Ganges	Bangladesh, Meghna Delta region	Bangladesh	24.05497	89.03127		Summer	single	SS		1999000	0.00273972602739726		38129	2400	91509.6	1.068832128	0.534683405702851			
Garzanti et al., 2011		BGD-GGS-111143-GZT19	BGD-GGS-111143	4035	Ganges	Bangladesh, Meghna Delta region	Bangladesh	24.05497	89.03127		Summer	single	SS		1999000	0.00273972602739726		38129	3100	118199.9	1.380574832	0.690632732366183			
Garzanti et al., 2011		BGD-GGS-111143-GZT20	BGD-GGS-111143	4035	Ganges	Bangladesh, Meghna Delta region	Bangladesh	24.05497	89.03127		Summer	single	SS		1999000	0.00273972602739726		38129	6500	247838.5	2.89475368	1.44810089044522			
Garzanti et al., 2011		BGD-GGS-111143-GZT6	BGD-GGS-111143	4035	Ganges	Bangladesh, Meghna Delta region	Bangladesh	24.05497	89.03127		Summer	single	SS		1999000	0.00273972602739726		38129	800	30503.2	0.356277376	0.17822780190095			
Garzanti et al., 2011		BGD-GGS-111143-GZT7	BGD-GGS-111143	4035	Ganges	Bangladesh, Meghna Delta region	Bangladesh	24.05497	89.03127		Summer	single	SS		1999000	0.00273972602739726		38129	1000	38129	0.44534672	0.222784752376188			
Garzanti et al., 2011		BGD-GGS-111143-GZT8	BGD-GGS-111143	4035	Ganges	Bangladesh, Meghna Delta region	Bangladesh	24.05497	89.03127		Summer	single	SS		1999000	0.00273972602739726		38129	2900	110574.1	1.291505488	0.646075781890946			
Garzanti et al., 2011		BGD-GGS-111143-GZT9	BGD-GGS-111143	4035	Ganges	Bangladesh, Meghna Delta region	Bangladesh	24.05497	89.03127		Summer	single	SS		1999000	0.00273972602739726		38129	700	26690.3	0.311742704	0.155949326663332			
GEMS-GLORI (Meybeck and Ragu, 1998)		BGD-GGS-111147-GGR1	BGD-GGS-111147	4035	Ganges	India, Coast	India	24.0833	89.0333			an	SS		1999000	1	15622.548083858	38129	1055	40226.095	0.4698407896	0.235037913756878			
Garzanti et al., 2011		BGD-MGH-111114-GZT1	BGD-MGH-111114	4044	Meghna	Bangladesh, Meghna Delta region	Bangladesh	23.460315	90.275702		Summer	single	SS		1574223.9	0.00273972602739726		40532.9	1000	40532.9	0.473424272	0.300735030131356			
Garzanti et al., 2011		BGD-MGH-111114-GZT2	BGD-MGH-111114	4044	Meghna	Bangladesh, Meghna Delta region	Bangladesh	23.460315	90.275702		Summer	single	SS		1574223.9	0.00273972602739726		40532.9	1300	52692.77	0.6154515536	0.390955539170762			
Garzanti et al., 2011		BGD-MGH-111114-GZT3	BGD-MGH-111114	4044	Meghna	Bangladesh, Meghna Delta region	Bangladesh	23.460315	90.275702		Summer	single	SS		1574223.9	0.00273972602739726		40532.9	1400	56746.06	0.6627939808	0.421029042183898			
Garzanti et al., 2011		BGD-MGH-111114-GZT4	BGD-MGH-111114	4044	Meghna	Bangladesh, Meghna Delta region	Bangladesh	23.460315	90.275702		Summer	single	SS		1574223.9	0.00273972602739726		40532.9	2300	93225.67	1.0888758256	0.691690569302118			
Garzanti et al., 2011		BGD-MGH-111114-GZT5	BGD-MGH-111114	4044	Meghna	Bangladesh, Meghna Delta region	Bangladesh	23.460315	90.275702		Summer	single	SS		1574223.9	0.00273972602739726		40532.9	2600	105385.54	1.2309031072	0.781911078341525			
Garzanti et al., 2011		BGD-MGH-111115-GZT1	BGD-MGH-111115	4044	Meghna	Bangladesh, Meghna Delta region	Bangladesh	22.812428	90.663231		Summer	single	SS		1574223.9	0.00273972602739726		40532.9	600	24319.74	0.2840545632	0.180441018078813			
Rousseau et al., 2019		BRA-AMZ-111111-ROU1	BRA-AMZ-111111	1001	Amazon	Obidos	Brazil	-3	-55	37	Winter	single	SS	0.22	7000000	0.00273972602739726	195900	215000	110.2	23693	0.27673424	0.0395334628571429			
